datetime,average,volume
1279317600,0.05,20
1279404000,0.07,75.01
1279490400,0.09,574
1279576800,0.08,262
1279663200,0.07,575
1279749600,0.06,2160
1279836000,0.06,2402.5
1279922400,0.05,496.32
1280008800,0.05,1551.48
1280095200,0.05,877
1280181600,0.06,3373.69
1280268000,0.06,4390.29
1280354400,0.07,8058.49
1280440800,0.07,3020.85
1280527200,0.06,4022.25
1280613600,0.06,2601
1280700000,0.06,3599
1280786400,0.06,9821.46
1280872800,0.06,3494
1280959200,0.06,5034.07
1281045600,0.06,1395
1281132000,0.06,2619
1281218400,0.06,2201
1281304800,0.07,13631.09
1281391200,0.07,1310.39
1281477600,0.07,14061.18
1281564000,0.07,2062.31
1281650400,0.07,3591.77
1281736800,0.07,4404.2
1281823200,0.07,4462.87
1281909600,0.06,10731.47
1281996000,0.07,13185.74
1282082400,0.07,2953.98
1282168800,0.07,741.12
1282255200,0.07,4199.75
1282341600,0.07,10443.86
1282428000,0.06,18648.97
1282514400,0.07,4297.49
1282600800,0.07,6711.76
1282687200,0.07,4228.88
1282773600,0.07,3870.01
1282860000,0.06,9009.97
1282946400,0.06,6174.01
1283032800,0.06,3173.4
1283119200,0.06,34193.14
1283205600,0.06,14886.91
1283292000,0.06,7164.72
1283378400,0.06,8150.73
1283464800,0.06,892
1283551200,0.06,3301
1283637600,0.06,8459.24
1283724000,0.06,910
1283810400,0.06,3457.19
1283896800,0.06,2345.41
1283983200,0.06,1733.5
1284069600,0.06,4939.79
1284156000,0.06,7749.14
1284242400,0.06,793.88
1284328800,0.06,10076.34
1284415200,0.06,14014.81
1284501600,0.06,3651.85
1284588000,0.06,730
1284674400,0.06,7262
1284760800,0.06,7092.61
1284847200,0.06,12852.17
1284933600,0.06,14307.94
1285020000,0.06,5735.95
1285106400,0.06,11560.4
1285192800,0.06,15505.33
1285279200,0.06,684.38
1285365600,0.06,2152.5
1285452000,0.06,12058.13
1285538400,0.06,10752.25
1285624800,0.06,7086.15
1285711200,0.06,23475.64
1285797600,0.06,7917.03
1285884000,0.06,1717.45
1285970400,0.06,13059.74
1286056800,0.06,7172.63
1286143200,0.06,33995.37
1286229600,0.06,27526.61
1286316000,0.06,33433.3
1286402400,0.06,43692.98
1286488800,0.08,139287.29
1286575200,0.09,187846.95
1286661600,0.1,50684.19
1286748000,0.1,14092.91
1286834400,0.09,25660.75
1286920800,0.1,47557.27
1287007200,0.1,37217.28
1287093600,0.1,24643.33
1287180000,0.1,6284.71
1287266400,0.1,18222.19
1287352800,0.1,25665.09
1287439200,0.1,6235.1
1287525600,0.1,31855
1287612000,0.1,44867
1287698400,0.11,34603.91
1287784800,0.11,4423.47
1287871200,0.11,13800.23
1287957600,0.15,30299.64
1288044000,0.16,19219.13
1288130400,0.18,65605.87
1288216800,0.19,21525.04
1288303200,0.19,28686.85
1288389600,0.19,26708.94
1288476000,0.19,40337.76
1288566000,0.19,21258.61
1288652400,0.19,5853.39
1288738800,0.19,61472.63
1288825200,0.21,29698.43
1288911600,0.24,36622.07
1288998000,0.29,32756.13
1289084400,0.36,77218.72
1289170800,0.32,118203.83
1289257200,0.27,47983.39
1289343600,0.2,30387.03
1289430000,0.22,5031.88
1289516400,0.26,40720.39
1289602800,0.29,21915.57
1289689200,0.28,16844.33
1289775600,0.27,8507.74
1289862000,0.25,33931.01
1289948400,0.26,32871.6
1290034800,0.27,37446.67
1290121200,0.27,2157.56
1290207600,0.28,14652.69
1290294000,0.28,765
1290380400,0.28,28205.85
1290466800,0.28,4856.92
1290553200,0.28,2514.91
1290639600,0.28,1679.6
1290726000,0.28,33531.88
1290812400,0.28,1825.39
1290898800,0.28,20802.13
1290985200,0.25,35055.4
1291071600,0.21,21476.25
1291158000,0.21,8157.89
1291244400,0.24,20312.23
1291330800,0.25,2570.34
1291417200,0.23,28560.72
1291503600,0.21,5740.18
1291590000,0.2,4319.26
1291676400,0.22,24592.92
1291762800,0.23,3430.41
1291849200,0.21,21336.33
1291935600,0.19,1684.25
1292022000,0.22,5788.69
1292108400,0.21,1963.56
1292194800,0.22,6415.59
1292281200,0.23,10388.1
1292367600,0.24,3684.68
1292454000,0.25,14355.33
1292540400,0.25,525.51
1292626800,0.25,169.11
1292713200,0.24,2000.76
1292799600,0.26,10682.71
1292886000,0.25,9225.79
1292972400,0.25,3800.46
1293058800,0.25,8650.15
1293145200,0.25,5033.25
1293231600,0.25,703
1293318000,0.25,16584.97
1293404400,0.26,4935.49
1293490800,0.27,15438.71
1293577200,0.29,18609.14
1293663600,0.3,2539.87
1293750000,0.29,1453.72
1293836400,0.3,2821.24
1293922800,0.3,5352.11
1294009200,0.3,1425.19
1294095600,0.29,1879
